Ticker	Name
0056	元大高股息
00878	國泰永續高股息
00919	群益台灣精選高息
00941	中信上游半導體
1101	台泥
1216	統一
1319	東陽
1532	勤美
2313	華通
2317	鴻海
2330	台積電
2404	漢唐
2881	富邦金
2885	元大金
2891	中信金
4749	新應材
4772	台特化
5871	中租-KY
7728	光焱科技
00679B	元大美債20年
00687B	國泰20年美債
00937B	群益ESG投等債20+
00942B	台新美A公司債20+
00950B	凱基A級公司債
00953B	群益優選非投等債
