名稱,代碼,
元大高股息,0056,
元大美債20年,00679B,
國泰20年美債,00687B,
國泰永續高股息,00878,
群益台灣精選高息,00919,
群益ESG投等債20+,00937B,
中信上游半導體,00941,
台新美A公司債20+,00942B,
群益優選非投等債,00953B,
台泥,1101,
統一,1216,
東陽,1319,
勤美,1532,
華通,2313,
鴻海,2317,
台積電,2330,
漢唐,2404,
富邦金,2881,
元大金,2885,
中信金,2891,
昇達科,3491,
台特化,4772,
中租-KY,5871,
光焱科技,7728,
